"Track_pair","Track_1_id","Track_1_id","Frame","Spot_1_X","Spot_1_Y","Spot_1_Z","Spot_2_X","Spot_2_Y","Spot_2_Z","Distance","Source_Image","Mean_intensity_Spot_1","Mean_intensity_Spot_2","Max_intensity_Spot_1","Max_intensity_Spot_2","Std_intensity_Spot_1","Std_intensity_Spot_2","SNR_Spot_1","SNR_Spot_2","Contrast_Spot_1","Contrast_Spot_2"
"0&0","0","0","0","2.905891997394299","2.511165158325896","1.1173133852615247","2.9659555095321664","2.476129677111442","0.6701072658347603","0.4525797429039545","./exampleexample_DC_CHAB.tif","1536.090909090909","3207.818181818182","2621.0","5218.0","623.9894958323345","1053.9039631941632","1.0548795622845437","1.24419404875078","0.27267934191979504","0.2568896202875608"
"0&0","0","0","1","2.683180394480421","2.316116722303058","0.8445967528553667","2.924135959622737","2.530988187339518","0.6717146473468218","0.3662206346794719","./exampleexample_DC_CHAB.tif","1497.909090909091","2913.2727272727275","2697.0","4786.0","486.38985485831313","1096.5497791627238","1.1982051010594683","1.0949550582094936","0.24152057988361855","0.25955593637367697"
"0&0","0","0","2","2.6671534885833785","2.276791615657332","0.9079121877139018","2.8195265720303087","2.4983920837949984","0.8157661418204557","0.28428017484825624","./exampleexample_DC_CHAB.tif","1577.3636363636363","2544.4545454545455","2650.0","4012.0","538.5976740995588","826.1455517808424","1.2799762066272398","1.1842226319942606","0.27963428484734826","0.2380060521847705"
"0&0","0","0","3","2.886308786145336","2.362781918423693","0.8399145174833355","3.1784671084794436","2.6495367117767676","0.7161716143567392","0.42766470849748983","./exampleexample_DC_CHAB.tif","1679.7272727272727","2158.0","2663.0","3128.0","541.3586779408067","622.1816455023404","1.375056375063956","1.1288848419891013","0.2846588163546457","0.1943673553294275"
"0&0","0","0","4","2.6858228563523303","2.3411291736138833","0.7971498592261378","2.8452386262639573","2.6645941289490076","0.7102493386156417","0.3709375493379526","./exampleexample_DC_CHAB.tif","1459.909090909091","2238.0","2375.0","3584.0","430.59457835543043","759.419120117475","1.243882570362921","1.1495064052668367","0.22464853982452732","0.24228330815620128"
"0&0","0","0","5","2.8169935104082025","2.2690207673281706","0.5642530153911803","2.8673485684748927","2.496851496776641","0.8244483084046488","0.3494911496165341","./exampleexample_DC_CHAB.tif","1869.0","2260.090909090909","3242.0","3244.0","633.952206400451","602.2784164396819","1.3099455270580571","1.4636648801809613","0.28561531771885085","0.24226958849779723"
"0&0","0","0","6","2.8660854873200448","2.270337794428948","0.6047398053550945","2.8835636811606986","2.643165342995602","0.5806604089596217","0.3740129483867135","./exampleexample_DC_CHAB.tif","1564.2727272727273","2157.0","2886.0","3541.0","626.4696466564187","805.7170719303396","0.9609652879890509","0.9540747149276577","0.23827764378841054","0.21682717492041748"
"0&0","0","0","7","2.799733566163487","2.4221794661923544","0.6020095822511714","2.7284023268040265","2.7320065959589015","0.6402282457204586","0.3202212708195883","./exampleexample_DC_CHAB.tif","1896.5454545454545","2075.181818181818","2614.0","3343.0","467.61231028200353","609.4052540275343","2.036063402852107","1.3541945057072973","0.3351240553453783","0.24818822536894583"
"0&0","0","0","8","2.9146059176718904","2.528877880264056","0.5939691121938413","2.9425375860514205","2.631896768145887","0.36538283312086617","0.252279123867397","./exampleexample_DC_CHAB.tif","1607.4545454545455","2070.5454545454545","2393.0","3373.0","381.50736916509584","691.0285614410396","1.7456625237425372","1.092908760900192","0.26127989736446167","0.22305447560365646"
"0&0","0","0","9","2.801210693247603","2.51612640158225","0.5285647545538665","2.827833414412145","2.71870749713988","0.614214906731761","0.22154868116879217","./exampleexample_DC_CHAB.tif","1787.8181818181818","2213.5454545454545","2856.0","3513.0","767.2937922571533","997.6448630285593","1.1167872133868515","0.9660205652939504","0.3151850747865697","0.27827009092627203"
"0&0","0","0","10","2.8176991552392954","2.543650665302099","0.5805171866143023","2.8172480731779257","2.6701126455008852","0.6277969696895267","0.13501190243258007","./exampleexample_DC_CHAB.tif","1570.909090909091","1897.3636363636363","2810.0","3106.0","584.7196686525014","569.5286248692462","1.2305685970780698","1.0138573444896557","0.2970496837798018","0.17947335150884464"
"0&0","0","0","11","2.903085053180491","2.5120417701505144","0.7318520599230023","2.827542557127829","2.6310908107817665","0.6676956738296643","0.15490443719159702","./exampleexample_DC_CHAB.tif","1734.7272727272727","1904.3636363636363","2839.0","3373.0","783.1528702506415","561.4893182825961","1.0714549085984144","1.27702351868105","0.3190129374339316","0.23192317240631888"
"0&0","0","0","12","2.9845540917933966","2.3303927171733014","0.6617419186649415","2.950891696562351","2.463512614721234","0.6368405999117803","0.13954977481712305","./exampleexample_DC_CHAB.tif","1710.090909090909","1637.090909090909","2423.0","2603.0","423.52625763828496","538.5698570372193","1.8987982317208132","0.8797204353346616","0.30741349532073714","0.16918741863960549"
"0&0","0","0","13","3.0077597309260486","2.3821611618042753","0.47070615498041507","2.947842900835789","2.495133182587647","0.6292387858081953","0.20367940260399625","./exampleexample_DC_CHAB.tif","1719.8181818181818","1994.2727272727273","2724.0","2843.0","656.1412680485535","524.3085143136798","1.1262006967561629","1.455606750895559","0.2736140985635703","0.23662083666528963"
"0&0","0","0","14","2.7887019955147703","2.389858421690692","0.5709315434604166","2.8630992003842275","2.5832863199095355","0.42161145167105174","0.25543254630867157","./exampleexample_DC_CHAB.tif","1606.2727272727273","1854.090909090909","2343.0","2664.0","441.0199748104593","705.8025863576095","1.5783895026534065","0.9661212954884453","0.2766209999473592","0.22532232676063105"
"0&0","0","0","15","3.0428156235954544","2.391387369737437","0.5074968057800097","3.003808877115307","2.769171630178629","0.6535643641395886","0.4069130193458963","./exampleexample_DC_CHAB.tif","1559.3636363636363","1750.0","2368.0","2632.0","577.6920066483996","491.7462760408054","1.1232246847979122","1.1380433339207088","0.2627196358787328","0.1903258091786266"
"0&0","0","0","16","2.915589234600693","2.3366177723024806","0.5366134275485979","2.9201990035062924","2.7108495223557165","0.6854564608145033","0.4027715248985039","./exampleexample_DC_CHAB.tif","1579.5454545454545","1558.8181818181818","2714.0","2539.0","688.1551225757698","517.5822288645193","0.9301719574602431","0.9817148918209577","0.2541109835375055","0.19471724142736202"
"0&0","0","0","17","2.9775132258414874","2.4268011902521938","0.5576276196379799","2.9858132530208468","2.74741170634921","0.6000452602376912","0.3235108185474164","./exampleexample_DC_CHAB.tif","1727.3636363636363","1659.5454545454545","2696.0","2905.0","510.4508346015849","544.3688756048354","1.4842748787759512","0.7892017754313122","0.28091489105573614","0.1486834210153738"
"0&0","0","0","18","3.0193852951461513","2.393421809444155","0.58534565366059","2.985402150806511","2.7395698295575794","0.6355729899424268","0.3514201064788715","./exampleexample_DC_CHAB.tif","1467.2727272727273","1646.8181818181818","2611.0","2660.0","564.3339597984674","633.1070712260001","1.0344961322366342","0.8660975251320947","0.24834744234072326","0.19973470635096344"
"0&0","0","0","19","2.918708182081138","2.66232430477905","0.847698644743794","2.8697346494175684","2.876625703792303","0.40813617068313374","0.4914658331185554","./exampleexample_DC_CHAB.tif","1581.3636363636363","1726.6363636363637","2182.0","2631.0","415.36087267032576","478.5867262528857","1.6221850735733607","1.1814113538724227","0.2707150609450659","0.1957874779192465"
"0&0","0","0","20","2.9003395286895173","2.53913312205867","0.5923319156555311","2.8896702069925584","2.8809784482463474","0.5921212096929008","0.3420118504654999","./exampleexample_DC_CHAB.tif","1710.3636363636363","1824.0","2511.0","3288.0","543.0685541857994","710.043801465797","1.4088843357315977","0.950464502581729","0.28811526899473155","0.2269903276490854"
"0&0","0","0","21","2.9742453496365036","2.535666949140451","0.502892920459224","2.8524829469247854","2.869692871066277","0.4748328185727691","0.35663253994890426","./exampleexample_DC_CHAB.tif","1930.2727272727273","1790.0","2749.0","2428.0","637.1776974924799","554.4040043145432","1.503978093509164","1.1576910816546477","0.33019320472111147","0.21844490256330465"
"0&0","0","0","22","2.8929648243217962","2.4509982107634736","0.5005178224916675","2.8431688084134206","2.8522069107898487","0.505762797696276","0.40432112725171565","./exampleexample_DC_CHAB.tif","1686.5454545454545","1785.5454545454545","2558.0","2862.0","585.2353994140074","643.8341966121967","1.2709216025432883","0.978294945459578","0.28288425699768294","0.2141483290856201"
"0&0","0","0","23","2.891683002694329","2.4081900475485924","0.6275501588665343","2.916491214177117","2.707773197584173","0.44537192341257237","0.35150308763271926","./exampleexample_DC_CHAB.tif","1564.8181818181818","1963.0","2694.0","3201.0","564.6258616432333","615.719579029285","1.1565755518741985","1.2299662240856988","0.2636806267485061","0.23899949505878956"
"0&0","0","0","24","2.7623407654656784","2.4154161819213695","0.6356853043682621","2.6613225969720045","2.62765857719747","0.6295300748668622","0.23513696342465537","./exampleexample_DC_CHAB.tif","1658.8181818181818","1526.4545454545455","2861.0","2529.0","624.487921129275","565.058645387603","1.2327190899482938","0.7366572458492604","0.30214800542353526","0.15787223478788545"
"0&0","0","0","25","2.9101861006864076","2.4008073020335514","0.5416151610419933","2.9520578577366896","2.624497547423712","0.6184326470288503","0.2401905411845543","./exampleexample_DC_CHAB.tif","1507.6363636363637","1548.6363636363637","3067.0","2026.0","575.6270099165383","245.81752286087038","1.0820882447290543","1.7734726323696297","0.2603581806624133","0.16380980452055371"
"0&0","0","0","26","3.0686978572083605","2.48582677852429","0.4287010716919744","3.0826019084371556","2.614143617432949","0.6188169703108626","0.2297881387185839","./exampleexample_DC_CHAB.tif","1494.1818181818182","1543.6363636363637","2855.0","2579.0","685.1044910350272","501.6471414704309","0.828856406845849","0.9923180366071089","0.23460062356710215","0.1922369187205571"
"0&0","0","0","27","2.8050590292438136","2.1826215245767164","0.5614753858422047","2.7676138001797095","2.506984192795289","0.5787231544529968","0.32697212608353415","./exampleexample_DC_CHAB.tif","1570.909090909091","1692.0","3048.0","2402.0","642.4071068326463","668.821650367271","1.072098003428216","0.9732041414068615","0.2807569341245593","0.23815447660166117"
